"DDAIF.Open","DDAIF.High","DDAIF.Low","DDAIF.Close","DDAIF.Volume","DDAIF.Adjusted","Avg_volume_10","Avg_volume_20","Avg_volume_60","Range","perc_change_closing","change_from_yest","moving_avg_10","moving_avg_20","moving_avg_60","perc_moving_avg_10","perc_moving_avg_20","perc_moving_avg_60","cash_tradet","avg_cash_trated_10","avg_cash_trated_20","avg_cash_trated_60","Avg_Dollar_volume_pct_10","Avg_Dollar_volume_pct_20","Avg_Dollar_volume_pct_60","nightgap","night_gap_perc","perc_range_previous","perc_range_atpr","perc_range_williams","one_month_range_perc","EMA10","EMA20","EMA60","WMA10","EVWMA10","ZLEMA10","VWAP10","HMA10","ALMA10"
48.580002,48.970001,47.209999,47.419998,1430600,31.596506,1223730,1299485,NA,1.760002,-6.21044884868574,-3.140003,1.7659988,1.6654995,NA,99.6604301203377,105.674123588749,NA,67839049.1388,59295340.86298,63505589.3846,NA,114.408734567464,106.823745431218,NA,-1.979999,-3.91613718520298,65.9092432849508,3.71151850322727,88.0682521951682,16.6665608467285,48.125081492937,48.1129071678583,NA,48.1407276545455,48.1727537018694,48.9674572157758,47.373736074085,47.9545877350649,48.9006799031073
47.939999,48.169998,47.490002,47.549999,639900,31.683132,1081030,1246585,NA,0.679996000000003,0.274148050364743,0.130001,1.5759986,1.58899935,NA,43.1469926432678,42.7939759698456,NA,30427244.3601,52189586.71237,61159984.4375,NA,58.301370592935,49.7502486960145,NA,0.520001000000001,1.09658587501417,57.3532785486972,1.43006522460706,91.1768598638812,4.76165910847782,48.0096124942212,48.0535828661575,NA,48.1149097090909,48.1323392069871,48.5224655401802,47.5323780658631,48.1200687145887,48.6400066352584
47.889999,48.400002,47.599998,48.150002,468800,32.08292,962170,1208985,NA,0.800004000000001,1.26183598868215,0.600003000000001,1.5389992,1.57949945,NA,51.9820932980343,50.6492104191617,NA,22572720.9376,46637190.17187,59334894.94542,NA,48.4006880654982,38.042910429628,NA,0.340000000000003,0.715036818402464,32.5002124989371,1.66148279703083,31.2498437507812,43.6510418237432,47.9351371316355,48.0103843074758,NA,48.0925455818182,48.1064018406344,48.1220163510565,47.6291005074987,48.1900329464069,48.1805099256902
49.57,50.75,49.509998,50.099998,212000,33.382225,852490,1178010,NA,1.240002,4.04983576116985,1.949996,1.4509995,1.57149965,NA,85.4584719016097,78.9056491358428,NA,10621199.576,41561037.86771,57837094.965795,NA,25.5556649230166,18.3639921442828,NA,1.419998,2.9491130654574,42.7417052553141,2.47505399102011,52.4194315815622,46.8253224994878,48.2214754713382,48.1532046591448,NA,48.4063633454545,48.1413069287628,48.4607400145008,48.0979355324051,48.4002415652381,48.0159596648026
52.299999,52.950001,51.75,52.599998,382200,35.048008,787180,1149205,NA,1.200001,4.99002015928224,2.5,1.3969998,1.59249975,NA,85.8984374944077,75.353292834112,NA,20103719.2356,38801782.69127,56415386.081745,NA,51.8113288648543,35.6351708848895,NA,2.200001,4.39121973617644,24.9998958334201,2.2813708091776,29.1668923609231,70.8331076390769,48.8630253856403,48.4957565963691,NA,49.0432724363636,48.3165200301915,49.4787871936824,48.5603815671384,48.9397789128139,48.5260728884105
51.169998,52.049999,51,51.98,105400,34.634895,676650,1102605,NA,1.049999,-1.17870346687086,-0.619998000000002,1.3179997,1.5819996,NA,79.6661031106457,66.371634986507,NA,5478692,33309469.71234,54040319.781745,NA,16.4478511585861,10.138156143648,NA,-1.43,-2.71863128207723,77.1431210886865,2.02000577145056,6.66657777769339,81.6665986111675,49.2515662246148,48.7342559681435,NA,49.4379997090909,48.3583198955307,50.2144621584675,48.6825461642208,49.547360522684,49.4376198661079
52.52,52.549999,51.450001,51.450001,823500,34.28175,670170,1075005,NA,1.099998,-1.01962100808002,-0.529998999999997,1.2819996,1.54749945,NA,85.8033029027466,71.082286975934,NA,42369075.8235,33176829.68352,52698015.57292,NA,127.706824997043,80.3997557837306,NA,0.540000000000006,1.03886110042325,97.2728132232971,2.13799412754142,100,0,49.6512816383212,48.9928983521298,NA,49.8616362545455,48.7382234109866,51.1845602205643,49.0030639490129,50.1757904332035,50.3750582183047
51.950001,52.73,51.57,52.700001,351300,35.114635,619390,1035890,NA,1.16,2.42954319864833,1.25,1.1739998,1.50949955,NA,98.8075125736816,76.8466608684976,NA,18513510.3513,30805704.04683,50726776.233805,NA,60.0976699742238,36.4965245691335,NA,0.5,0.971817279459334,64.6551724137933,2.20113847815676,2.58612068965488,94.1666715277737,50.0001395222628,49.2383366043079,NA,50.2594544545454,48.8988335460744,51.9864583622799,49.1587871401056,50.7496520015584,51.001999538924
50.560001,50.950001,50.189999,50.900002,172600,33.915276,563170,950310,NA,0.760002,-3.41555780995146,-1.799999,1.086,1.47699965,NA,69.9817679558011,51.4558009543198,NA,8785340.3452,27956597.68135,46363217.451065,NA,31.4249267573098,18.9489445042779,NA,-2.14,-4.06072098556507,44.7368559556423,1.49312764270618,6.57879847684607,59.1668673609439,50.0346594273059,49.3289711181834,NA,50.3583633818182,48.9384051065885,51.9571022964108,49.1928430543708,51.0869939703896,51.1581771109821
52.049999,52.740002,51.639999,52.740002,55900,35.141285,464220,897160,NA,1.10000299999999,3.6149310956805,1.84,1.0850007,1.45499975,NA,101.382699568765,75.601593745978,NA,2948166.1118,22965871.78799,43693795.118545,NA,12.837161763403,6.74733358318126,NA,1.149997,2.25932604089092,62.7273743798882,2.08570906007928,0,91.6668402776326,50.3265393496139,49.5490690116897,NA,50.7018177636364,48.9709369015654,52.0830835152452,49.0990935510318,51.4173860584416,51.1641135181686
